Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
8bc2599e-03fc-a6d5-46a1-19a5f11876d4,1984-03-20,,999-10-8339,S99913316,X70577866X,Mr.,Darnell564,Ariel183,Howell947,,,M,white,nonhispanic,M,Baraboo  Wisconsin  US,816 Crist Crossroad Suite 65,Janesville,Wisconsin,Rock County,55105,53546,42.641552717405055,-88.92119767857365,441294.96,0.00,82402
c973fac2-cca9-5d95-f8c8-77ba97421035,1975-10-16,,999-67-9969,S99911541,X34244958X,Mr.,Owen89,,Toy286,,,M,asian,nonhispanic,M,Madison  Wisconsin  US,787 Smitham Way,Madison,Wisconsin,Dane County,55025,53715,43.07416017999872,-89.40432768128751,167941.91,827.26,193070
0dbf01ae-c638-10a3-2bc2-d09ab2d7603d,2012-09-14,2015-06-16,999-43-2137,,,,Mora209,Nella762,Braun514,,,,white,nonhispanic,F,Fort Atkinson  Wisconsin  US,738 Jacobson Run,Madison,Wisconsin,Dane County,55025,53715,43.060415797668895,-89.41121971942921,36391.38,0.00,82132
3795d225-ddd4-1ae6-06bb-ab18b2f81b64,1983-04-24,,999-89-2166,S99977387,X41324064X,Mr.,Marion502,Russ979,Towne435,,,D,white,nonhispanic,M,Madison  Wisconsin  US,222 Friesen Landing Unit 89,Madison,Wisconsin,Dane County,55025,53703,43.07327793170802,-89.54889272757647,94914.41,0.00,122036
c4e759cf-ffd3-5f38-70fa-d089b2cad042,1969-11-10,,999-95-6745,S99999093,X41163611X,Mrs.,Keiko299,,D'Amore443,,Reichel38,D,white,nonhispanic,F,Madison  Wisconsin  US,350 Labadie Track,Janesville,Wisconsin,Rock County,55105,53545,42.642607707181355,-89.11774905384286,1239130.81,0.00,38839
0717ac09-160e-5104-f1df-348bb52d4945,1977-12-16,,999-77-3837,S99911988,X76509566X,Mrs.,Glendora96,Celina578,Bogisich202,,Goodwin327,D,white,nonhispanic,F,Madison  Wisconsin  US,462 Heidenreich Heights,Baraboo,Wisconsin,Sauk County,,00000,43.544226889809785,-88.73004208718302,258844.63,0.00,12232
20e2bb73-98aa-5ddc-8381-3dd150f03ca4,2000-04-13,,999-52-9830,S99986944,X87668233X,Ms.,Keesha623,,Maggio310,,,,white,nonhispanic,F,Fort Atkinson  Wisconsin  US,382 Little Manor Unit 71,Madison,Wisconsin,Dane County,55025,53715,43.04015989589344,-89.39281302281192,96522.21,0.00,343470
c777b3b0-7bff-5cdf-a90b-74d46453f14a,2001-11-30,,999-69-8915,S99999634,X75059807X,Mr.,Darwin703,Robby860,O'Conner199,,,,white,nonhispanic,M,Madison  Wisconsin  US,268 Schroeder Esplanade Unit 10,Madison,Wisconsin,Dane County,55025,53726,43.04529490989852,-89.43506358638899,566325.62,0.00,68113
0e3c1024-b0f7-f4a9-5748-6d52aa229730,1970-10-11,,999-67-4042,S99927725,X3381434X,Mr.,Tony646,Rhett759,Nicolas769,,,S,white,nonhispanic,M,Madison  Wisconsin  US,410 Streich Center,Juneau,Wisconsin,Dodge County,55027,53039,43.36269266581199,-88.75584284137248,658177.92,0.00,62343
0fc13756-bd22-5e05-82ed-fdf4c1ccb108,1969-07-14,,999-23-3835,S99980744,X76634749X,Mr.,Ollie731,Clark193,Emmerich580,,,M,white,nonhispanic,M,Madison  Wisconsin  US,181 Harvey Trailer,Janesville,Wisconsin,Rock County,55105,53546,42.64126980546833,-89.10671633969152,178968.65,3220.59,90129
759b651f-4576-f6dd-8eeb-3680e5eea66f,1933-05-08,,999-24-8968,S99910528,X66821841X,Mrs.,Trisha327,Ying817,Kling921,,Ankunding277,M,white,nonhispanic,F,Madison  Wisconsin  US,673 Ferry Orchard Apt 66,Madison,Wisconsin,Dane County,55025,53719,43.0656990507973,-89.45958286548833,1771348.69,0.00,42694
c4924473-57d6-0f9a-570a-c0fed894e24a,1995-12-18,2023-07-09,999-90-2046,S99934608,X49950079X,Ms.,Augusta206,Loria303,Terry864,,,,white,nonhispanic,F,Madison  Wisconsin  US,419 Bauch Haven,Madison,Wisconsin,Dane County,55025,53715,43.11711190442883,-89.38639534058379,783077.08,0.00,11416
253e450b-4019-1f9d-0a11-d06d407efe8a,1975-04-01,,999-64-7594,S99956844,X27214829X,Mrs.,Abby752,,Kunde533,,Krajcik437,W,other,nonhispanic,F,Baraboo  Wisconsin  US,600 Wisoky Lane,Juneau,Wisconsin,Dodge County,55027,53039,43.37561296144371,-88.66661852013985,1339995.18,51329.87,557635
48415ab1-a4de-2846-f542-6f2d820eb687,1985-11-07,,999-24-8275,S99924791,X33712550X,Mr.,Laverne101,Alfred550,Welch179,,,M,white,nonhispanic,M,Madison  Wisconsin  US,345 Cremin Avenue Unit 51,Madison,Wisconsin,Dane County,55025,53703,43.079693423231205,-89.42326169583066,603309.36,0.00,124677
89f9d768-53c7-916c-e59c-822314a1201d,2012-09-14,,999-47-5864,,,,Shalon513,Reginia455,Green467,,,,white,nonhispanic,F,Janesville  Wisconsin  US,685 Kunde Rapid,Madison,Wisconsin,Dane County,55025,53703,43.03673444975704,-89.41586199237967,69525.96,399.93,82132
42188cb4-6d0b-d07c-8b4b-57bfaec260c9,1985-06-08,,999-52-5391,S99984980,X83754783X,Mrs.,Soledad678,,Garay400,,Vélez150,M,white,hispanic,F,San Salvador  El Salvador  SV,175 Dach Course,Madison,Wisconsin,Dane County,55025,53706,43.00490317399437,-89.53461249204247,484113.24,405.26,198490
904efcc0-b4e3-161d-58f0-00b2c11ae2ca,1984-02-19,,999-49-7180,S99918822,X80224132X,Mr.,Kelvin159,Alton320,Becker968,,,S,white,nonhispanic,M,Lisbon  Estremadura  PT,166 Russel Vale Suite 31,Juneau,Wisconsin,Dodge County,55027,53039,43.41676525673084,-88.68049638052054,141749.77,293.97,125219
6b9d718c-c480-ff1b-75fa-bd586ca4cf13,1955-04-07,,999-11-4458,S99925957,X78935748X,Mr.,Stewart672,,MacGyver246,,,S,white,nonhispanic,M,Madison  Wisconsin  US,287 Bailey Bay Unit 88,Baraboo,Wisconsin,Sauk County,,00000,42.6490221659853,-89.18669743138445,779481.24,0.00,358440
e4357c0f-8ed5-5d7f-5dae-91bce27ca8de,1974-06-29,,999-51-2544,S99984815,X82453176X,Mrs.,Kirby843,Roy364,Wisoky380,,Stracke611,M,white,nonhispanic,F,Madison  Wisconsin  US,236 Balistreri Highlands Suite 86,Madison,Wisconsin,Dane County,55025,53711,43.005451068836294,-89.40727434355031,1040236.43,3204.56,19516
e06b1684-b193-5136-5afb-489240adaa36,2005-05-15,,999-89-4940,S99939945,X71255317X,Mr.,Ira784,Tyler508,Kutch271,,,,asian,nonhispanic,M,Janesville  Wisconsin  US,740 Towne Common Apt 16,Madison,Wisconsin,Dane County,55025,53703,43.039544807393455,-89.4212049285333,84832.25,0.00,867108
c5814fd4-9447-1d86-a972-82cb937914e4,2015-11-05,,999-50-2760,,,,Malorie969,Camille85,Hartmann983,,,,white,nonhispanic,F,Madison  Wisconsin  US,140 Marvin Viaduct,Madison,Wisconsin,Dane County,55025,53719,43.00748778556732,-89.37475362853081,19146.46,0.00,451365
5d65d9d0-c403-5659-48be-7a3073265c4d,1989-12-27,,999-40-6581,S99984826,X56037621X,Mr.,Dewitt635,Marvin195,Kemmer137,JD,,M,black,nonhispanic,M,Monroe  Wisconsin  US,475 Sauer Mission Unit 2,Janesville,Wisconsin,Rock County,55105,53548,42.69103929192051,-89.09956053972307,603465.01,0.00,31605
938ee3cd-f833-8b36-074f-021cf4f45768,1968-07-11,,999-19-9968,S99968771,X65612621X,Mrs.,Ayanna800,,Gibson10,,Fritsch593,M,white,nonhispanic,F,Madison  Wisconsin  US,896 Mosciski Center Apt 8,Madison,Wisconsin,Dane County,55025,53726,43.04539140628086,-89.51388201050904,836943.36,0.00,7451
dd2e2183-b3f8-3186-4d16-29c56a29fdb7,1995-12-18,,999-86-8079,S99925261,X73541714X,Ms.,Rosamond509,,Quigley282,,,S,white,nonhispanic,F,Baraboo  Wisconsin  US,348 Labadie Byway Unit 99,Madison,Wisconsin,Dane County,55025,53715,43.12080237675845,-89.45384445279846,186478.30,0.00,11416
f7bace9d-d967-834b-385f-e3c663d0ae10,1999-12-18,,999-22-4146,S99955278,X35265267X,Mr.,Eduardo902,Malcolm243,Berge125,,,,white,nonhispanic,M,Madison  Wisconsin  US,735 Toy Fort,Janesville,Wisconsin,Rock County,55105,53546,42.72389546530785,-89.11121246334957,86326.98,0.00,130452
963407ee-328e-a30f-a310-5fad176c3e81,2019-06-07,,999-92-1183,,,,Adalberto916,Wilson960,Kshlerin58,,,,white,nonhispanic,M,Madison  Wisconsin  US,471 Roberts Annex,Madison,Wisconsin,Dane County,55025,53719,43.10120706946522,-89.36415435618488,16037.74,77.83,63424
e1032895-6b55-7a02-9860-1358b19fa1cb,1971-06-30,,999-33-7914,S99934451,X7887342X,Mr.,Orval846,,Herman763,,,M,white,nonhispanic,M,Fort Atkinson  Wisconsin  US,799 Orn Well,Madison,Wisconsin,Dane County,55025,53719,42.9953171793762,-89.47024588999508,288173.15,5698.40,7298
023ed35e-3265-2787-18ff-30d9debd58ff,2008-04-03,,999-26-9914,S99979297,,,Minna389,Denise470,Zulauf375,,,,white,nonhispanic,F,Baraboo  Wisconsin  US,497 McKenzie Orchard Unit 24,Madison,Wisconsin,Dane County,55025,53715,43.11638550569299,-89.37697366623011,52297.33,338.44,34109
0a524909-bc31-318f-1e7e-1602a7fb5f30,2005-10-15,,999-69-3392,S99952911,X16801970X,Mr.,Ariel183,John539,Kuhlman484,,,,white,nonhispanic,M,Madison  Wisconsin  US,175 Hahn Crossing Unit 32,Madison,Wisconsin,Dane County,55025,53715,43.07886920597405,-89.41211438085384,62294.79,0.00,314636
b96ec770-3a7d-ef60-a893-e2724eb6f3d8,1976-10-04,,999-99-8433,S99918487,X36547660X,Mrs.,Celia938,Marilynn608,Schamberger479,,Zieme486,M,white,nonhispanic,F,Madison  Wisconsin  US,329 Crooks Brook,Madison,Wisconsin,Dane County,55025,53706,43.059087925745835,-89.51875159249977,656736.34,0.00,94278
002aae04-8ae5-9878-6725-65b48ecc82bd,2002-05-03,,999-30-3962,S99975904,X62336806X,Mr.,Edward499,Dewayne363,Connelly992,,,,white,nonhispanic,M,Fort Atkinson  Wisconsin  US,613 Simonis Corner Unit 69,Janesville,Wisconsin,Rock County,55105,53545,42.67568627375666,-88.95321449828539,57707.47,0.00,11519
42deeff4-d8e4-ef87-0df4-13778f5d94aa,1989-08-12,,999-69-5919,S99941779,X58838717X,Mr.,Merrill415,Antonio44,VonRueden376,,,S,white,nonhispanic,M,Monroe  Wisconsin  US,696 Harber Parade Suite 93,Janesville,Wisconsin,Rock County,55105,53546,42.70666449877286,-89.08614233071367,88726.40,0.00,103415
240cda7c-a2fb-e37f-4158-797262000a59,1950-07-05,,999-85-5660,S99978737,X5806355X,Mrs.,Arcelia945,Birdie301,Jones311,,Schmeler639,W,white,nonhispanic,F,Fort Atkinson  Wisconsin  US,535 Koelpin Brook,Madison,Wisconsin,Dane County,55025,53715,43.053085341349025,-89.42172454446666,508414.66,0.00,137188
fda8bcc0-6339-2dd9-2ad6-cddba1ea84b1,1965-12-02,,999-94-7141,S99997715,X89501049X,Mrs.,Senaida415,,Heathcote539,,Oberbrunner298,D,white,nonhispanic,F,Madison  Wisconsin  US,1049 Cartwright Course,Janesville,Wisconsin,Rock County,55105,53548,42.77577442459361,-89.04348438318755,679812.79,0.00,371681
9ddbd019-1cb1-1095-d716-1568d1f15cc8,2024-11-07,,999-82-8849,,,,Marion502,,Haley279,,,,white,nonhispanic,M,Dodgeville  Wisconsin  US,895 Schaden Promenade,Madison,Wisconsin,Dane County,55025,53719,43.07827302414661,-89.3998171944772,8279.70,0.00,180500
d11b3ff2-2f98-8085-9caa-16ef2ccc9787,2006-06-16,,999-47-3326,S99914824,,Ms.,Cecily421,Billy698,Christiansen251,,,,white,nonhispanic,F,Madison  Wisconsin  US,789 Braun Heights Apt 43,Madison,Wisconsin,Dane County,55025,53719,43.0529744318086,-89.38970553549679,188225.14,265.32,65277
d9bd5db9-3180-e3cd-0cd2-0b2956dd5d21,1952-10-07,,999-52-9243,S99929980,X59872251X,Mr.,Maurice742,Tristan353,O'Hara248,,,M,white,nonhispanic,M,Monroe  Wisconsin  US,448 Grant Common Apt 21,Baraboo,Wisconsin,Sauk County,,00000,42.90952280770841,-89.54794369309883,197822.95,0.00,129328
538ab60e-fd76-548c-c9c3-a66154f3650d,1995-08-02,,999-47-1404,S99939956,X83513370X,Mrs.,Carlotta746,Nannette779,Bernier607,,Haley279,M,white,nonhispanic,F,Madison  Wisconsin  US,405 Greenholt Loaf,Madison,Wisconsin,Dane County,55025,53711,43.03256725533014,-89.4240842823956,240158.18,0.00,765378
00cbac67-a52a-00ad-ca4d-9e74cb375070,2005-07-15,,999-73-9454,S99913500,X74684527X,Ms.,Barbara209,Terry864,Schiller186,,,,other,nonhispanic,F,Madison  Wisconsin  US,300 Cremin Ferry Apt 30,Madison,Wisconsin,Dane County,55025,53719,43.04778194854241,-89.38385756781955,88712.14,0.00,61860
288a2c61-49ba-d8d8-1aa2-ee2ceae7e3ef,2025-03-17,,999-54-5547,,,,Elvin140,Josef103,Crona259,,,,white,nonhispanic,M,Fort Atkinson  Wisconsin  US,855 Flatley Street Apt 29,Madison,Wisconsin,Dane County,55025,53719,43.04537252408151,-89.40199945869445,2132.18,18.05,96979
946b38f9-22db-c408-db99-d372584a3a7a,2023-02-02,,999-11-4805,,,,Johana303,,Ernser583,,,,white,nonhispanic,F,Janesville  Wisconsin  US,768 Wilderman Haven Unit 99,Madison,Wisconsin,Dane County,55025,53711,43.072172327657775,-89.40964266187054,6691.63,0.00,199878
0e714c0d-b243-7384-2f22-77a884eac443,1992-08-18,,999-99-6727,S99973035,X41868672X,Ms.,Louise871,Arica110,Kuvalis369,,,S,white,nonhispanic,F,Monroe  Wisconsin  US,883 Turcotte Trafficway,Janesville,Wisconsin,Rock County,55105,53546,42.66798244741867,-88.90260909585672,777114.02,0.00,85462
3c19d6b0-00b6-91a0-14ba-77fc2633a762,1977-01-08,,999-77-4639,S99933789,X77823249X,Mr.,Lewis216,Lou594,Smith67,,,D,white,nonhispanic,M,Monroe  Wisconsin  US,143 Feeney Ramp,Madison,Wisconsin,Dane County,55025,53726,43.115954990495155,-89.3698554862686,114664.49,717.28,78623
2789c3c3-3e80-2e59-6755-0d47db800cbf,2002-12-10,,999-11-7901,S99991197,X5564227X,Ms.,Carisa395,Melodi744,Hudson301,,,,white,nonhispanic,F,Baraboo  Wisconsin  US,832 Hilpert Lodge Suite 14,Fort Atkinson,Wisconsin,Jefferson County,,00000,43.60640598003884,-89.43705798127144,152930.93,0.00,124627
563c7f6c-d308-52f2-5773-60dd3ca35032,1947-05-29,1993-10-31,999-38-1920,S99953358,X15969541X,Ms.,Belinda283,Melissa844,Pfannerstill264,,,S,white,nonhispanic,F,Janesville  Wisconsin  US,528 Gulgowski Throughway,Juneau,Wisconsin,Dodge County,55027,53039,43.399094910432595,-88.68071021684526,650517.00,0.00,103404
9e63ba7c-487d-53b1-c5e9-801b6e23a7a9,1995-07-16,,999-16-6412,S99954908,X60409486X,Ms.,Lorri590,Anthony633,Waters156,,,S,white,nonhispanic,F,Janesville  Wisconsin  US,270 Rosenbaum Extension,Janesville,Wisconsin,Rock County,55105,53546,42.643254021073275,-88.98999163574986,499007.73,0.00,73771
bc3f8e96-cb91-d146-3882-04178915dd15,1973-01-05,2024-05-05,999-62-3005,S99959837,X87495731X,Mr.,Orlando897,Trenton748,Nitzsche158,,,D,white,nonhispanic,M,Madison  Wisconsin  US,702 Abshire Meadow Unit 37,Janesville,Wisconsin,Rock County,55105,53548,42.62394666436048,-88.95224639758824,312024.70,0.00,44594
ba413453-f5f0-d692-5663-037b379b31df,1953-04-08,,999-24-5376,S99947809,X88510476X,Mrs.,Cassidy160,Barabara924,Nicolas769,,Homenick806,M,white,nonhispanic,F,Janesville  Wisconsin  US,802 Rogahn Estate Suite 12,Madison,Wisconsin,Dane County,55025,53703,43.03662218504968,-89.36393214672398,907396.46,6763.24,936514
a1cefdf3-c307-f267-7ef0-c2ae9120d659,1959-01-07,1987-02-17,999-88-7401,S99983492,X3734248X,Mrs.,Zenobia558,Sherika987,Bashirian201,,Pfeffer420,M,white,nonhispanic,F,Juneau  Wisconsin  US,216 Rosenbaum Ville Unit 27,Portage,Wisconsin,Columbia County,55021,53901,43.51209870062153,-89.46547280697659,498222.80,0.00,80961
6f359018-8ae4-5d92-c89b-75870020a015,1963-05-12,,999-65-5286,S99990103,X32910549X,Mr.,Tracey100,Blair400,Lesch175,,,M,black,nonhispanic,M,Madison  Wisconsin  US,907 Marvin Knoll Suite 93,Janesville,Wisconsin,Rock County,55105,53548,42.72416650345029,-89.105427292342,425237.20,2208.41,60596
55a05363-f212-a474-5d2b-3d74fe3ca9b9,1977-04-01,,999-79-8821,S99925499,X68629179X,Ms.,Barabara924,Retta782,Skiles927,,,S,white,nonhispanic,F,Madison  Wisconsin  US,1028 Schmeler Rest,Madison,Wisconsin,Dane County,55025,53706,43.01946729918263,-89.40287380536802,699077.81,987.70,59401
d69eb579-4ed9-2ee2-aa3c-3fb44499fe6a,1990-08-26,,999-12-2070,S99967213,X84540168X,Ms.,Matthew562,Anabel269,MacGyver246,,,S,white,nonhispanic,F,Janesville  Wisconsin  US,1010 Fisher Key Unit 66,Madison,Wisconsin,Dane County,55025,53726,42.969778393677416,-89.40097783589123,368965.02,0.00,97465
38a1afe0-e7f3-106b-715c-8326bc909235,1947-05-29,1994-03-21,999-25-4668,S99964073,X35645082X,Mrs.,Alease857,,Weimann465,,Kozey370,M,white,nonhispanic,F,Madison  Wisconsin  US,443 Dicki Flat,Juneau,Wisconsin,Dodge County,55027,53039,43.34838155831685,-88.68474719847647,544960.26,0.00,103404
0536440c-e9a2-9475-0e7d-477c784111da,1973-01-05,,999-13-7278,S99962940,X2537552X,Mr.,Arnulfo253,Leroy603,Kunze215,,,S,white,nonhispanic,M,Madison  Wisconsin  US,989 Price Club,Janesville,Wisconsin,Rock County,55105,53548,42.75059914808655,-89.02674300242083,165989.20,0.00,44594
974d4c15-b015-7b47-3c0d-59917eb3288c,1962-03-21,2023-01-19,999-89-6893,S99944001,X39832392X,Mr.,Shane235,,Koelpin146,,,M,white,nonhispanic,M,Monroe  Wisconsin  US,615 Hammes Skyway,Madison,Wisconsin,Dane County,55025,53726,43.09550991587667,-89.45169943796984,146283.35,0.00,634080
